bib,rider_name,dob,team,rider_country_code,rider_country_name,team_country_code,team_country_name
22,Mattia Cattaneo,1990-10-25,SOUDAL QUICK-STEP,ITA,Italy,BEL,Belgium
23,Pascal Eenkhoorn,1997-02-08,SOUDAL QUICK-STEP,NED,"Netherlands, Kingdom of the",BEL,Belgium
24,Tim Merlier,1992-10-30,SOUDAL QUICK-STEP,BEL,Belgium,BEL,Belgium
25,Valentin Paret Peintre,2001-01-14,SOUDAL QUICK-STEP,FRA,France,BEL,Belgium
26,Maximilian Schachmann,1994-01-09,SOUDAL QUICK-STEP,GER,Germany,BEL,Belgium
27,Bert Van Lerberghe,1992-09-29,SOUDAL QUICK-STEP,BEL,Belgium,BEL,Belgium
28,Ilan Van Wilder,2000-05-14,SOUDAL QUICK-STEP,BEL,Belgium,BEL,Belgium
31,Ben Healy,2000-09-11,EF EDUCATION - EASYPOST,IRL,Ireland,USA,United States of America
32,Vincenzo Albanese,1996-11-12,EF EDUCATION - EASYPOST,ITA,Italy,USA,United States of America
33,Kasper Asgreen,1995-02-08,EF EDUCATION - EASYPOST,DEN,Denmark,USA,United States of America
34,Alex Baudin,2001-05-25,EF EDUCATION - EASYPOST,FRA,France,USA,United States of America
35,Neilson Powless,1996-09-03,EF EDUCATION - EASYPOST,USA,United States of America,USA,United States of America
36,Harrison Sweeny,1998-07-09,EF EDUCATION - EASYPOST,AUS,Australia,USA,United States of America
37,Michael Valgren,1992-02-07,EF EDUCATION - EASYPOST,DEN,Denmark,USA,United States of America
38,Marijn Van Den Berg,1999-07-19,EF EDUCATION - EASYPOST,NED,"Netherlands, Kingdom of the",USA,United States of America
41,Biniam Girmay,2000-04-02,INTERMARCHÉ - WANTY,ERI,Eritrea,BEL,Belgium
42,Louis Barre,2000-04-06,INTERMARCHÉ - WANTY,FRA,France,BEL,Belgium
43,Vito Braet,2000-11-02,INTERMARCHÉ - WANTY,BEL,Belgium,BEL,Belgium
44,Hugo Page,2001-07-24,INTERMARCHÉ - WANTY,FRA,France,BEL,Belgium
45,Laurenz Rex,1999-12-15,INTERMARCHÉ - WANTY,BEL,Belgium,BEL,Belgium
46,Jonas Rutsch,1998-01-24,INTERMARCHÉ - WANTY,GER,Germany,BEL,Belgium
47,Roel Van Sintmaartensdijk,2001-05-08,INTERMARCHÉ - WANTY,NED,"Netherlands, Kingdom of the",BEL,Belgium
48,Georg Zimmermann,1997-10-11,INTERMARCHÉ - WANTY,GER,Germany,BEL,Belgium
51,Santiago Buitrago,1999-09-26,BAHRAIN VICTORIOUS,COL,Colombia,BRN,Bahrain
52,Phil Bauhaus,1994-07-08,BAHRAIN VICTORIOUS,GER,Germany,BRN,Bahrain
53,Kamil Gradek,1990-09-17,BAHRAIN VICTORIOUS,POL,Poland,BRN,Bahrain
54,Jack Haig,1993-09-06,BAHRAIN VICTORIOUS,AUS,Australia,BRN,Bahrain
55,Lenny Martinez,2003-07-11,BAHRAIN VICTORIOUS,FRA,France,BRN,Bahrain
56,Matej Mohoric,1994-10-19,BAHRAIN VICTORIOUS,SLO,Slovenia,BRN,Bahrain
57,Robert Stannard,1998-09-16,BAHRAIN VICTORIOUS,AUS,Australia,BRN,Bahrain
58,Fred Wright,1999-06-13,BAHRAIN VICTORIOUS,GBR,United Kingdom of Great Britain and Northern Ireland,BRN,Bahrain
61,Geraint Thomas,1986-05-25,INEOS GRENADIERS,GBR,United Kingdom of Great Britain and Northern Ireland,GBR,United Kingdom of Great Britain and Northern Ireland
62,Thymen Arensman,1999-12-04,INEOS GRENADIERS,NED,"Netherlands, Kingdom of the",GBR,United Kingdom of Great Britain and Northern Ireland
63,Tobias Foss,1997-05-25,INEOS GRENADIERS,NOR,Norway,GBR,United Kingdom of Great Britain and Northern Ireland
64,Filippo Ganna,1996-07-25,INEOS GRENADIERS,ITA,Italy,GBR,United Kingdom of Great Britain and Northern Ireland
65,Axel Laurance,2001-04-13,INEOS GRENADIERS,FRA,France,GBR,United Kingdom of Great Britain and Northern Ireland
66,Carlos Rodriguez,2001-02-02,INEOS GRENADIERS,ESP,Spain,GBR,United Kingdom of Great Britain and Northern Ireland
67,Connor Swift,1995-10-30,INEOS GRENADIERS,GBR,United Kingdom of Great Britain and Northern Ireland,GBR,United Kingdom of Great Britain and Northern Ireland
68,Samuel Watson,2001-09-24,INEOS GRENADIERS,GBR,United Kingdom of Great Britain and Northern Ireland,GBR,United Kingdom of Great Britain and Northern Ireland
71,Primoz Roglic,1989-10-29,RED BULL - BORA - HANSGROHE,SLO,Slovenia,GER,Germany
72,Florian Lipowitz,2000-09-21,RED BULL - BORA - HANSGROHE,GER,Germany,GER,Germany
73,Jordi Meeus,1998-07-01,RED BULL - BORA - HANSGROHE,BEL,Belgium,GER,Germany
74,Gianni Moscon,1994-04-20,RED BULL - BORA - HANSGROHE,ITA,Italy,GER,Germany
75,Laurence Pithie,2002-07-17,RED BULL - BORA - HANSGROHE,NZL,New Zealand,GER,Germany
76,Mick Van Dijke,2000-03-15,RED BULL - BORA - HANSGROHE,NED,"Netherlands, Kingdom of the",GER,Germany
77,Danny Van Poppel,1993-07-26,RED BULL - BORA - HANSGROHE,NED,"Netherlands, Kingdom of the",GER,Germany
78,Aleksandr Vlasov,1996-04-23,RED BULL - BORA - HANSGROHE,NULL,NULL,GER,Germany
81,Jonathan Milan,2000-10-01,LIDL-TREK,ITA,Italy,USA,United States of America
82,Simone Consonni,1994-09-12,LIDL-TREK,ITA,Italy,USA,United States of America
83,Thibau Nys,2002-11-12,LIDL-TREK,BEL,Belgium,USA,United States of America
84,Quinn Simmons,2001-05-08,LIDL-TREK,USA,United States of America,USA,United States of America
85,Mattias Skjelmose,2000-09-26,LIDL-TREK,DEN,Denmark,USA,United States of America
86,Toms Skujins,1991-06-15,LIDL-TREK,LAT,Latvia,USA,United States of America
87,Jasper Stuyven,1992-04-17,LIDL-TREK,BEL,Belgium,USA,United States of America
88,Edward Theuns,1991-04-30,LIDL-TREK,BEL,Belgium,USA,United States of America
91,Guillaume Martin Guyonnet,1993-06-09,GROUPAMA-FDJ,FRA,France,FRA,France
92,Lewis Askey,2001-05-04,GROUPAMA-FDJ,GBR,United Kingdom of Great Britain and Northern Ireland,FRA,France
93,Cyril Barthe,1996-02-14,GROUPAMA-FDJ,FRA,France,FRA,France
94,Romain Gregoire,2003-01-21,GROUPAMA-FDJ,FRA,France,FRA,France
95,Valentin Madouas,1996-07-12,GROUPAMA-FDJ,FRA,France,FRA,France
96,Quentin Pacher,1992-01-06,GROUPAMA-FDJ,FRA,France,FRA,France
97,Paul Penhoet,2001-12-28,GROUPAMA-FDJ,FRA,France,FRA,France
98,Clément Russo,1995-01-20,GROUPAMA-FDJ,FRA,France,FRA,France
101,Jasper Philipsen,1998-03-02,ALPECIN-DECEUNINCK,BEL,Belgium,BEL,Belgium
102,Silvan Dillier,1990-08-03,ALPECIN-DECEUNINCK,SUI,Switzerland,BEL,Belgium
103,Kaden Groves,1998-12-23,ALPECIN-DECEUNINCK,AUS,Australia,BEL,Belgium
104,Xandro Meurisse,1992-01-31,ALPECIN-DECEUNINCK,BEL,Belgium,BEL,Belgium
105,Jonas Rickaert,1994-02-07,ALPECIN-DECEUNINCK,BEL,Belgium,BEL,Belgium
106,Mathieu Van Der Poel,1995-01-19,ALPECIN-DECEUNINCK,NED,"Netherlands, Kingdom of the",BEL,Belgium
107,Gianni Vermeersch,1992-11-19,ALPECIN-DECEUNINCK,BEL,Belgium,BEL,Belgium
108,Emiel Verstrynge,2002-02-04,ALPECIN-DECEUNINCK,BEL,Belgium,BEL,Belgium
111,Julian Alaphilippe,1992-06-11,TUDOR PRO CYCLING TEAM,FRA,France,SUI,Switzerland
112,Alberto Dainese,1998-03-25,TUDOR PRO CYCLING TEAM,ITA,Italy,SUI,Switzerland
113,Marco Haller,1991-04-01,TUDOR PRO CYCLING TEAM,AUT,Austria,SUI,Switzerland
114,Marc Hirschi,1998-08-24,TUDOR PRO CYCLING TEAM,SUI,Switzerland,SUI,Switzerland
115,Fabian Lienhard,1993-09-03,TUDOR PRO CYCLING TEAM,SUI,Switzerland,SUI,Switzerland
116,Marius Mayrhofer,2000-09-18,TUDOR PRO CYCLING TEAM,GER,Germany,SUI,Switzerland
117,Michael Storer,1997-02-28,TUDOR PRO CYCLING TEAM,AUS,Australia,SUI,Switzerland
118,Matteo Trentin,1989-08-02,TUDOR PRO CYCLING TEAM,ITA,Italy,SUI,Switzerland
121,Ben O'Connor,1995-11-25,TEAM JAYCO ALULA,AUS,Australia,AUS,Australia
122,Edward Dunbar,1996-09-01,TEAM JAYCO ALULA,IRL,Ireland,AUS,Australia
123,Luke Durbridge,1991-04-09,TEAM JAYCO ALULA,AUS,Australia,AUS,Australia
124,Dylan Groenewegen,1993-06-21,TEAM JAYCO ALULA,NED,"Netherlands, Kingdom of the",AUS,Australia
125,Luka Mezgec,1988-06-27,TEAM JAYCO ALULA,SLO,Slovenia,AUS,Australia
126,Luke Plapp,2000-12-25,TEAM JAYCO ALULA,AUS,Australia,AUS,Australia
127,Elmar Reinders,1992-03-14,TEAM JAYCO ALULA,NED,"Netherlands, Kingdom of the",AUS,Australia
128,Mauro Schmid,1999-12-04,TEAM JAYCO ALULA,SUI,Switzerland,AUS,Australia
131,Kévin Vauquelin,2001-04-26,ARKEA-B&B HOTELS,FRA,France,FRA,France
132,Amaury Capiot,1993-06-25,ARKEA-B&B HOTELS,BEL,Belgium,FRA,France
133,Ewen Costiou,2002-11-10,ARKEA-B&B HOTELS,FRA,France,FRA,France
134,Arnaud Demare,1991-08-26,ARKEA-B&B HOTELS,FRA,France,FRA,France
135,Raul Garcia Pierna,2001-02-23,ARKEA-B&B HOTELS,ESP,Spain,FRA,France
136,Mathis Le Berre,2001-04-16,ARKEA-B&B HOTELS,FRA,France,FRA,France
137,Cristian Rodriguez,1995-03-03,ARKEA-B&B HOTELS,ESP,Spain,FRA,France
138,Clément Venturini,1993-10-16,ARKEA-B&B HOTELS,FRA,France,FRA,France
141,Enric Mas,1995-01-07,MOVISTAR TEAM,ESP,Spain,ESP,Spain
142,William Barta,1996-01-04,MOVISTAR TEAM,USA,United States of America,ESP,Spain
143,Pablo Castrillo Zapater,2001-01-02,MOVISTAR TEAM,ESP,Spain,ESP,Spain
144,Nelson Oliveira,1989-03-06,MOVISTAR TEAM,POR,Portugal,ESP,Spain
145,Ivan Garcia Cortina,1995-11-20,MOVISTAR TEAM,ESP,Spain,ESP,Spain
146,Gregor Mühlberger,1994-04-04,MOVISTAR TEAM,AUT,Austria,ESP,Spain
147,Ivan Romeo Abad,2003-08-16,MOVISTAR TEAM,ESP,Spain,ESP,Spain
148,Einer Rubio Reyes,1998-02-22,MOVISTAR TEAM,COL,Colombia,ESP,Spain
151,Félix Gall,1998-02-27,DECATHLON AG2R LA MONDIALE TEAM,AUT,Austria,FRA,France
152,Bruno Armirail,1994-04-11,DECATHLON AG2R LA MONDIALE TEAM,FRA,France,FRA,France
153,Clément Berthet,1997-08-02,DECATHLON AG2R LA MONDIALE TEAM,FRA,France,FRA,France
154,Stefan Bissegger,1998-09-13,DECATHLON AG2R LA MONDIALE TEAM,SUI,Switzerland,FRA,France
155,Oliver Naesen,1990-09-16,DECATHLON AG2R LA MONDIALE TEAM,BEL,Belgium,FRA,France
156,Aurélien Paret Peintre,1996-02-27,DECATHLON AG2R LA MONDIALE TEAM,FRA,France,FRA,France
157,Callum Scotson,1996-08-10,DECATHLON AG2R LA MONDIALE TEAM,AUS,Australia,FRA,France
158,Bastien Tronchon,2002-03-29,DECATHLON AG2R LA MONDIALE TEAM,FRA,France,FRA,France
161,Emanuel Buchmann,1992-11-18,COFIDIS,GER,Germany,FRA,France
162,Alex Aranburu,1995-09-19,COFIDIS,ESP,Spain,FRA,France
163,Bryan Coquard,1992-04-25,COFIDIS,FRA,France,FRA,France
164,Ion Izagirre,1989-02-04,COFIDIS,ESP,Spain,FRA,France
165,Alexis Renard,1999-06-01,COFIDIS,FRA,France,FRA,France
166,Dylan Teuns,1992-03-01,COFIDIS,BEL,Belgium,FRA,France
167,Benjamin Thomas,1995-09-12,COFIDIS,FRA,France,FRA,France
168,Damien Touze,1996-07-07,COFIDIS,FRA,France,FRA,France
171,Harold Tejada,1997-04-27,XDS ASTANA TEAM,COL,Colombia,KAZ,Kazakhstan
172,Davide Ballerini,1994-09-21,XDS ASTANA TEAM,ITA,Italy,KAZ,Kazakhstan
173,Cees Bol,1995-07-27,XDS ASTANA TEAM,NED,"Netherlands, Kingdom of the",KAZ,Kazakhstan
174,Clément Champoussin,1998-05-29,XDS ASTANA TEAM,FRA,France,KAZ,Kazakhstan
175,Yevgeniy Fedorov,2000-02-16,XDS ASTANA TEAM,KAZ,Kazakhstan,KAZ,Kazakhstan
176,Sergio Higuita,1997-08-01,XDS ASTANA TEAM,COL,Colombia,KAZ,Kazakhstan
177,Mike Teunissen,1992-08-25,XDS ASTANA TEAM,NED,"Netherlands, Kingdom of the",KAZ,Kazakhstan
178,Simone Velasco,1995-12-02,XDS ASTANA TEAM,ITA,Italy,KAZ,Kazakhstan
181,Steff Cras,1996-02-13,TOTALENERGIES,BEL,Belgium,FRA,France
182,Mathieu Burgaudeau,1998-11-17,TOTALENERGIES,FRA,France,FRA,France
183,Alexandre Delettre,1997-10-25,TOTALENERGIES,FRA,France,FRA,France
184,Thomas Gachignard,2000-08-17,TOTALENERGIES,FRA,France,FRA,France
185,Emilien Jeanniere,1998-09-26,TOTALENERGIES,FRA,France,FRA,France
186,Jordan Jegat,1999-06-07,TOTALENERGIES,FRA,France,FRA,France
187,Anthony Turgis,1994-05-16,TOTALENERGIES,FRA,France,FRA,France
188,Matteo Vercher,2001-01-26,TOTALENERGIES,FRA,France,FRA,France
191,Oscar Onley,2002-10-13,TEAM PICNIC POSTNL,GBR,United Kingdom of Great Britain and Northern Ireland,NED,"Netherlands, Kingdom of the"
192,Warren Barguil,1991-10-28,TEAM PICNIC POSTNL,FRA,France,NED,"Netherlands, Kingdom of the"
193,Pavel Bittner,2002-10-29,TEAM PICNIC POSTNL,CZE,Czechia,NED,"Netherlands, Kingdom of the"
194,Sean Flynn,2000-03-02,TEAM PICNIC POSTNL,GBR,United Kingdom of Great Britain and Northern Ireland,NED,"Netherlands, Kingdom of the"
195,Tobias Lund Andresen,2002-02-08,TEAM PICNIC POSTNL,DEN,Denmark,NED,"Netherlands, Kingdom of the"
196,Niklas Märkl,1999-03-03,TEAM PICNIC POSTNL,GER,Germany,NED,"Netherlands, Kingdom of the"
197,Tim Naberman,1999-05-11,TEAM PICNIC POSTNL,NED,"Netherlands, Kingdom of the",NED,"Netherlands, Kingdom of the"
198,Frank Van Den Broek,2000-12-28,TEAM PICNIC POSTNL,NED,"Netherlands, Kingdom of the",NED,"Netherlands, Kingdom of the"
201,Michael Woods,1986-10-12,ISRAEL - PREMIER TECH,CAN,Canada,ISR,Israel
202,Pascal Ackermann,1994-01-17,ISRAEL - PREMIER TECH,GER,Germany,ISR,Israel
203,Joseph Blackmore,2003-02-23,ISRAEL - PREMIER TECH,GBR,United Kingdom of Great Britain and Northern Ireland,ISR,Israel
204,Guillaume Boivin,1989-05-25,ISRAEL - PREMIER TECH,CAN,Canada,ISR,Israel
205,Matis Louvel,1999-07-19,ISRAEL - PREMIER TECH,FRA,France,ISR,Israel
206,Alexey Lutsenko,1992-09-07,ISRAEL - PREMIER TECH,KAZ,Kazakhstan,ISR,Israel
207,Krists Neilands,1994-08-18,ISRAEL - PREMIER TECH,LAT,Latvia,ISR,Israel
208,Jake Stewart,1999-10-02,ISRAEL - PREMIER TECH,GBR,United Kingdom of Great Britain and Northern Ireland,ISR,Israel
211,Arnaud De Lie,2002-03-16,LOTTO,BEL,Belgium,BEL,Belgium
212,Jenno Berckmoes,2001-02-04,LOTTO,BEL,Belgium,BEL,Belgium
213,Jasper De Buyst,1993-11-24,LOTTO,BEL,Belgium,BEL,Belgium
214,Jarrad Drizners,1999-05-31,LOTTO,AUS,Australia,BEL,Belgium
215,Sébastien Grignard,1999-04-29,LOTTO,BEL,Belgium,BEL,Belgium
216,Eduardo Sepulveda,1991-06-13,LOTTO,ARG,Argentina,BEL,Belgium
217,Lennert Van Eetvelt,2001-07-17,LOTTO,BEL,Belgium,BEL,Belgium
218,Brent Van Moer,1998-01-12,LOTTO,BEL,Belgium,BEL,Belgium
221,Tobias Johannessen,1999-08-23,UNO-X MOBILITY,NOR,Norway,NOR,Norway
222,Jonas Abrahamsen,1995-09-20,UNO-X MOBILITY,NOR,Norway,NOR,Norway
223,Magnus Cort Nielsen,1993-01-16,UNO-X MOBILITY,DEN,Denmark,NOR,Norway
224,Stian Edvardsen-Fredheim,2003-03-23,UNO-X MOBILITY,NOR,Norway,NOR,Norway
225,Markus Hoelgaard,1994-10-04,UNO-X MOBILITY,NOR,Norway,NOR,Norway
226,Anders Johannessen,1999-08-23,UNO-X MOBILITY,NOR,Norway,NOR,Norway
227,Andreas Leknessund,1999-05-21,UNO-X MOBILITY,NOR,Norway,NOR,Norway
228,Soren Waerenskjold,2000-03-12,UNO-X MOBILITY,NOR,Norway,NOR,Norway
